player_name,zone_1_attempted,zone_1_made,zone_2_attempted,zone_2_made,zone_3_attempted,zone_3_made,zone_4_attempted,zone_4_made,zone_5_attempted,zone_5_made,zone_6_attempted,zone_6_made,zone_7_attempted,zone_7_made,zone_8_attempted,zone_8_made,zone_9_attempted,zone_9_made,zone_10_attempted,zone_10_made,zone_11_attempted,zone_11_made,zone_12_attempted,zone_12_made,zone_13_attempted,zone_13_made,zone_14_attempted,zone_14_made,zone_15_attempted,zone_15_made
Kentavious Caldwell-Pope,0.2037037037037037,0.6363636363636364,0.047619047619047616,0.3888888888888889,0.005291005291005291,0.25,0.006613756613756613,0.4,0.018518518518518517,0.5,0.027777777777777776,0.5238095238095238,0.027777777777777776,0.42857142857142855,0.030423280423280418,0.5217391304347826,0.0582010582010582,0.4545454545454545,0.08597883597883597,0.4461538461538462,0.07142857142857142,0.3703703703703704,0.16402116402116398,0.3709677419354839,0.17857142857142858,0.3111111111111111,0.07275132275132275,0.2545454545454545,0.0013227513227513227,0.0
Kevin Durant,0.20535068691250905,0.7288732394366197,0.15328994938539406,0.4858490566037736,0.012292118582791034,0.6470588235294118,0.015184381778741863,0.42857142857142855,0.06941431670281996,0.5625,0.09689081706435286,0.5970149253731343,0.03832248734634852,0.5849056603773585,0.08315256688358641,0.4782608695652174,0.0455531453362256,0.5396825396825397,0.009399855386840204,0.2307692307692308,0.013015184381778741,0.2222222222222222,0.08893709327548807,0.3414634146341464,0.09544468546637744,0.3787878787878788,0.0737527114967462,0.3725490196078432,0.0,0.0
Kevin Huerter,0.2191780821917808,0.5625,0.1613394216133942,0.37735849056603776,0.0167427701674277,0.2727272727272727,0.0091324200913242,0.5,0.0121765601217656,0.0,0.0091324200913242,0.5,0.0091324200913242,0.5,0.0106544901065449,0.5714285714285714,0.0167427701674277,0.2727272727272727,0.0502283105022831,0.4545454545454545,0.0684931506849315,0.4222222222222222,0.136986301369863,0.4222222222222222,0.1765601217656012,0.3620689655172414,0.1004566210045662,0.3181818181818182,0.0030441400304414,0.0
Kevin Knox,0.2439824945295405,0.4798206278026906,0.13457330415754926,0.3983739837398374,0.01312910284463895,0.5,0.02297592997811816,0.4761904761904762,0.0262582056892779,0.25,0.04923413566739606,0.3111111111111111,0.03391684901531729,0.25806451612903225,0.037199124726477024,0.35294117647058826,0.04266958424507659,0.05128205128205128,0.0350109409190372,0.3125,0.0525164113785558,0.4166666666666667,0.14442013129102846,0.3484848484848485,0.10722100656455144,0.32653061224489793,0.05689277899343545,0.3076923076923077,0.0,0.0
Kevon Looney,0.7665706051873199,0.6992481203007519,0.069164265129683,0.25,0.005763688760806916,0.5,0.002881844380403458,0.0,0.02017291066282421,0.5714285714285714,0.04034582132564842,0.5,0.02017291066282421,0.5714285714285714,0.02881844380403458,0.5,0.01729106628242075,0.5,0.005763688760806916,0.0,0.005763688760806916,0.0,0.002881844380403458,0.0,0.002881844380403458,0.0,0.008645533141210375,0.3333333333333333,0.002881844380403458,0.0
Khris Middleton,0.2020905923344948,0.5646551724137931,0.1402439024390244,0.42857142857142855,0.012195121951219513,0.7142857142857143,0.016550522648083626,0.4736842105263158,0.06707317073170732,0.42857142857142855,0.058362369337979086,0.4029850746268657,0.027874564459930317,0.46875,0.025261324041811847,0.4137931034482759,0.03745644599303136,0.4883720930232558,0.02874564459930314,0.2727272727272727,0.024390243902439025,0.3928571428571429,0.12630662020905922,0.3862068965517241,0.12020905923344948,0.32608695652173914,0.1132404181184669,0.4461538461538462,0.0,0.0
Klay Thompson,0.15335235378031384,0.7023255813953488,0.08487874465049929,0.4117647058823529,0.008559201141226819,0.5,0.006419400855920114,0.5555555555555556,0.060627674750356624,0.4235294117647059,0.0912981455064194,0.46875,0.033523537803138374,0.44680851063829785,0.07917261055634807,0.5045045045045045,0.05492154065620542,0.3896103896103896,0.04992867332382312,0.3857142857142857,0.046362339514978604,0.5230769230769231,0.10342368045649072,0.3448275862068966,0.1833095577746077,0.4396887159533074,0.0442225392296719,0.27419354838709675,0.0,0.0
Kris Dunn,0.2924901185770751,0.527027027027027,0.2450592885375494,0.3870967741935484,0.005928853754940711,0.6666666666666666,0.03359683794466403,0.4705882352941176,0.017786561264822136,0.3333333333333333,0.05731225296442687,0.4827586206896552,0.025691699604743084,0.38461538461538464,0.05533596837944664,0.3928571428571429,0.07707509881422925,0.3076923076923077,0.015810276679841896,0.375,0.021739130434782608,0.3636363636363637,0.0533596837944664,0.3703703703703704,0.043478260869565216,0.3636363636363637,0.05533596837944664,0.32142857142857145,0.0,0.0
Kyle Korver,0.041407867494824016,0.75,0.028985507246376805,0.5,0.0,0.0,0.002070393374741201,0.0,0.031055900621118005,0.4,0.05383022774327122,0.5769230769230769,0.037267080745341616,0.4444444444444444,0.035196687370600416,0.4117647058823529,0.043478260869565216,0.2380952380952381,0.10351966873706003,0.52,0.08902691511387162,0.4186046511627907,0.18633540372670807,0.32222222222222224,0.18633540372670807,0.37777777777777777,0.16149068322981364,0.3974358974358974,0.0,0.0
Kyle Kuzma,0.3477460901563937,0.6481481481481481,0.16191352345906165,0.4431818181818182,0.005519779208831647,0.6666666666666666,0.00735970561177553,0.25,0.01471941122355106,0.4375,0.03311867525298988,0.4722222222222222,0.00827966881324747,0.2222222222222222,0.017479300827966882,0.3157894736842105,0.017479300827966882,0.3684210526315789,0.045078196872125116,0.3469387755102041,0.03863845446182153,0.30952380952380953,0.11683532658693653,0.2755905511811024,0.11039558417663294,0.2833333333333333,0.07451701931922723,0.3580246913580247,0.0009199632014719412,0.0
